company_name,image,name,quantity,apna_daily,mrp_price
APNADAILY,beet.png,Beet,500 gms,30,32
APNADAILY,Bittermelo.jpg,Bittermelo,500 gms,30,32
APNADAILY,cabage.png,cabage,500 gms,30,32
APNADAILY,cabbage 2,cabbage 2,500 gms,30,32
APNADAILY,CAPSICUM 2.jpg,,500 gms,30,32
APNADAILY,CAPSICUM 30rs.jpg,CAPSICUM ,500 gms,30,32
APNADAILY,CAPSICUM3.jpg,,500 gms,30,32
APNADAILY,capsicum-green.jpg,,500 gms,30,32
APNADAILY,carrat.jpg,carrat,500 gms,30,32
APNADAILY,carrot1.jpg,,500 gms,30,32
APNADAILY,carrot2.jpg,,500 gms,30,32
APNADAILY,carrrot.jpg,,500 gms,30,32
APNADAILY,cauliflower.webp,cauliflower,500 gms,30,32
APNADAILY,Coriander leaves.png,Coriander leaves,500 gms,30,32
APNADAILY,cucumber.png,cucumber,500 gms,30,32
APNADAILY,drumstick.png,drumstick,500 gms,30,32
APNADAILY,jinger.png,jinger,500 gms,30,32
APNADAILY,ladyfinger.png,ladyfinger,500 gms,30,32
APNADAILY,MINT.png,MINT,500 gms,30,32
APNADAILY,onion.png,onion,500 gms,30,32
APNADAILY,parwal.jpg,parwal,500 gms,30,32
APNADAILY,pea.png,pea,500 gms,30,32
APNADAILY,potato.PNG,potato,500 gms,30,32
APNADAILY,radish.png,radish,500 gms,30,32
APNADAILY,RIDGE GOURD 40rs.jpg,RIDGE GOURD,500 gms,40,45
APNADAILY,RIDGE GOURD2.jpg,,500 gms,10,32
APNADAILY,RIDGE GOURD3.jpg,,500 gms,10,32
APNADAILY,snake gourd.png,snake gourd,500 gms,20,32
APNADAILY,spinach_palak..jpg,spinach_palak.,500 gms,20,32
APNADAILY,Sponge Gourd (nenua).jpg,Sponge Gourd (nenua),500 gms,30,32
APNADAILY,tomoto.png,tomoto,500 gms,,
